"Name","API Name","Instance Memory","vCPUs","GPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"R7G Eight Extra Large","r7g.8xlarge","256.0 GiB","32 vCPUs","0","EBS only","15 Gigabit","$1.7136 hourly","$1.1335 hourly","$0.3163 hourly","unavailable","unavailable"
"C5 High-CPU 9xlarge","c5d.9xlarge","72.0 GiB","36 vCPUs","0","900 GB                 NVMe SSD","12 Gigabit","$1.7280 hourly","$1.0890 hourly","$0.5676 hourly","$3.3840 hourly","$2.7450 hourly"
"G4AD Eight Extra Large","g4ad.8xlarge","128.0 GiB","32 vCPUs","2","1200 GB                 NVMe SSD","15 Gigabit","$1.7340 hourly","$1.0924 hourly","$0.7121 hourly","$3.2060 hourly","$2.5644 hourly"
"C7G 12xlarge","c7g.12xlarge","96.0 GiB","48 vCPUs","0","EBS only","22.5 Gigabit","$1.7400 hourly","$1.1466 hourly","$0.4510 hourly","unavailable","unavailable"
"M5 General Purpose Eight Extra Large","m5d.8xlarge","128.0 GiB","32 vCPUs","0","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","$1.8080 hourly","$1.1390 hourly","$0.7658 hourly","$3.2800 hourly","$2.6110 hourly"
"R5A Eight Extra Large","r5a.8xlarge","256.0 GiB","32 vCPUs","0","EBS only","Up to 10 Gigabit","$1.8080 hourly","$1.1390 hourly","$0.5252 hourly","$3.2800 hourly","$2.6110 hourly"
"C6IN Eight Extra Large","c6in.8xlarge","64.0 GiB","32 vCPUs","0","EBS only","50 Gigabit","$1.8144 hourly","$1.1431 hourly","$0.6076 hourly","$3.2864 hourly","$2.6151 hourly"
"R6A Eight Extra Large","r6a.8xlarge","256.0 GiB","32 vCPUs","0","EBS only","12.5 Gigabit","$1.8144 hourly","$1.2002 hourly","$0.2444 hourly","$3.2864 hourly","$2.6722 hourly"
"C6A 12xlarge","c6a.12xlarge","96.0 GiB","48 vCPUs","0","EBS only","18.75 Gigabit","$1.8360 hourly","$1.2145 hourly","$0.5194 hourly","$4.0440 hourly","$3.4225 hourly"
"R6GD Eight Extra Large","r6gd.8xlarge","256.0 GiB","32 vCPUs","0","1900 GB                 NVMe SSD","12 Gigabit","$1.8432 hourly","$1.1612 hourly","$0.5508 hourly","unavailable","unavailable"
"C6GD 12xlarge","c6gd.12xlarge","96.0 GiB","48 vCPUs","0","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$1.8432 hourly","$1.1612 hourly","$0.1843 hourly","unavailable","unavailable"
"C5A 12xlarge","c5a.12xlarge","96.0 GiB","48 vCPUs","0","EBS only","12 Gigabit","$1.8480 hourly","$1.1640 hourly","$0.5593 hourly","$4.0560 hourly","$3.3720 hourly"
"M6G 12xlarge","m6g.12xlarge","192.0 GiB","48 vCPUs","0","EBS only","20 Gigabit","$1.8480 hourly","$1.1592 hourly","$0.4392 hourly","unavailable","unavailable"
"M7A Eight Extra Large","m7a.8xlarge","128.0 GiB","32 vCPUs","0","EBS only","12.5 Gigabit","$1.8547 hourly","$1.2269 hourly","$0.5702 hourly","$3.3267 hourly","$2.6989 hourly"
"G6e Graphics and Machine Learning GPU Extra Large","g6e.xlarge","32.0 GiB","4 vCPUs","1","250 GB                 NVMe SSD","Up to 20 Gigabit","$1.8610 hourly","$1.1724 hourly","$0.6839 hourly","$2.0450 hourly","$1.3564 hourly"
"H1 Eight Extra Large","h1.8xlarge","128.0 GiB","32 vCPUs","0","8000 GB                 (4 * 2000 GB HDD)","10 Gigabit","$1.8720 hourly","$1.2720 hourly","$0.5372 hourly","$3.3440 hourly","$2.7440 hourly"
"R8G Eight Extra Large","r8g.8xlarge","256.0 GiB","32 vCPUs","0","EBS only","15 Gigabit","$1.8851 hourly","$1.2470 hourly","$0.3066 hourly","unavailable","unavailable"
"M6ID Eight Extra Large","m6id.8xlarge","128.0 GiB","32 vCPUs","0","1900 GB                 NVMe SSD","12.5 Gigabit","$1.8984 hourly","$1.1960 hourly","$0.4878 hourly","$3.3704 hourly","$2.6680 hourly"
"M5N Eight Extra Large","m5n.8xlarge","128.0 GiB","32 vCPUs","0","EBS only","25 Gigabit","$1.9040 hourly","$1.2000 hourly","$0.8125 hourly","$3.3760 hourly","$2.6720 hourly"
"C8G 12xlarge","c8g.12xlarge","96.0 GiB","48 vCPUs","0","EBS only","22.5 Gigabit","$1.9142 hourly","$1.2614 hourly","$0.4987 hourly","unavailable","unavailable"
"C5N 9xlarge","c5n.9xlarge","96.0 GiB","36 vCPUs","0","EBS only","50 Gigabit","$1.9440 hourly","$1.2250 hourly","$0.6201 hourly","$3.6000 hourly","$2.8810 hourly"
"M7G 12xlarge","m7g.12xlarge","192.0 GiB","48 vCPUs","0","EBS only","22.5 Gigabit","$1.9584 hourly","$1.2955 hourly","$0.5221 hourly","unavailable","unavailable"
"INF2 Eight Extra Large","inf2.8xlarge","128.0 GiB","32 vCPUs","1","EBS only","Up to 25 Gigabit","$1.9679 hourly","$1.2397 hourly","$0.4766 hourly","unavailable","unavailable"
"F2 6xlarge","f2.6xlarge","256.0 GiB","24 vCPUs","0","940 GB                 NVMe SSD","12.5 Gigabit","$1.9800 hourly","unavailable","unavailable","unavailable","unavailable"
"M5ZN 6xlarge","m5zn.6xlarge","96.0 GiB","24 vCPUs","0","EBS only","50 Gigabit","$1.9820 hourly","$1.2487 hourly","$1.0376 hourly","$3.0860 hourly","$2.3527 hourly"
"C7GN Eight Extra Large","c7gn.8xlarge","64.0 GiB","32 vCPUs","0","EBS only","100 Gigabit","$1.9968 hourly","$1.2580 hourly","$0.3697 hourly","unavailable","unavailable"
"D3 Quadruple Extra Large","d3.4xlarge","128.0 GiB","16 vCPUs","0","23760 GB                 (12 * 1980 GB NVMe HDD)","Up to 15 Gigabit","$1.9980 hourly","$1.2590 hourly","$0.6803 hourly","$2.7340 hourly","$1.9950 hourly"
"M4 General Purpose Deca Extra Large","m4.10xlarge","160.0 GiB","40 vCPUs","0","EBS only","10 Gigabit","$2.0000 hourly","$1.2390 hourly","$0.4645 hourly","$3.8400 hourly","$3.0790 hourly"
"G6 Graphics and Machine Learning GPU Eight Extra Large","g6.8xlarge","128.0 GiB","32 vCPUs","1","900 GB                 (2 * 450 GB NVMe SSD)","25 Gigabit","$2.0144 hourly","$1.3114 hourly","$0.8336 hourly","$3.4864 hourly","$2.7834 hourly"
"R5 Eight Extra Large","r5.8xlarge","256.0 GiB","32 vCPUs","0","EBS only","10 Gigabit","$2.0160 hourly","$1.2700 hourly","$0.4613 hourly","$3.4880 hourly","$2.7420 hourly"
"R6I Eight Extra Large","r6i.8xlarge","256.0 GiB","32 vCPUs","0","EBS only","12.5 Gigabit","$2.0160 hourly","$1.3336 hourly","$0.5680 hourly","$3.4880 hourly","$2.8056 hourly"
"C7I-FLEX 12xlarge","c7i-flex.12xlarge","96.0 GiB","48 vCPUs","0","EBS only","Up to 18.75 Gigabit","$2.0349 hourly","$1.3461 hourly","$0.2035 hourly","$4.2429 hourly","$3.5541 hourly"
"C6I 12xlarge","c6i.12xlarge","96.0 GiB","48 vCPUs","0","EBS only","18.75 Gigabit","$2.0400 hourly","$1.3495 hourly","$0.5646 hourly","$4.2480 hourly","$3.5575 hourly"
"C5 High-CPU 12xlarge","c5.12xlarge","96.0 GiB","48 vCPUs","0","EBS only","12 Gigabit","$2.0400 hourly","$1.2850 hourly","$0.5684 hourly","$4.2480 hourly","$3.4930 hourly"
